Name,URL,Price,SKU,Categories,Description,Image URL
Adidas Yeezy Boost 350 V2 “Salt”,https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-boost-350-v2-salt/,"₹ 30,999.00",N/A,"['Adidas | Yeezy', 'Sneakers | Yeezy', 'Yeezy']",Adidas Yeezy Boost 350 V2 “Salt”,https://www.copunderdog.com/wp-content/uploads/2022/10/Yeezy-Boost-350-V2-Jade-Ash-433x433.jpeg
Adidas Yeezy Slide ‘Flax’,https://www.copunderdog.com/shop/sneakers/yeezy/adidas-yeezy-slide-flax/,"₹ 19,999.00",N/A,"['Adidas', 'Sneakers', 'Yeezy']",Adidas Yeezy Slide ‘Flax’,https://www.copunderdog.com/wp-content/uploads/2022/08/slideflax2_1024x-1-433x433.webp
Air Jordan 1 Low Aluminium Football Grey,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-aluminium-football-grey/,"₹ 19,999.00",N/A,"['Jordans', 'Sneakers']",Air Jordan 1 Low Aluminium Football Grey,https://www.copunderdog.com/wp-content/uploads/2022/08/Artboard1copy3_3_af48b29a-b352-4fa2-b4d1-7a863d78dfd9_800x-433x433.webp
Air Jordan 1 Low Craft’ Inside Out ‘,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-craft-inside-out/,"₹ 17,999.00",N/A,"['Jordans', 'Sneakers']",Air Jordan 1 Low Craft’ Inside Out ‘,https://www.copunderdog.com/wp-content/uploads/2022/12/937348_03.jpg-433x433.jpeg
Air Jordan 1 Low FlyEase “Bio Hack”,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-flyease-bio-hack/,"₹ 24,000.00",N/A,"['Jordans', 'Sneakers']",Air Jordan 1 Low FlyEase “Bio Hack”,https://www.copunderdog.com/wp-content/uploads/2022/11/AJ1LOWFLYEASEbiohack_800x-433x433.webp
Air Jordan 1 Low Golf “Court Purple”,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-golf-court-purple/,"₹ 21,999.00",N/A,"['Jordans', 'Jordans', 'Jordans | Sneakers', 'Sneakers']",Air Jordan 1 Low Golf “Court Purple”,https://www.copunderdog.com/wp-content/uploads/2022/12/https___hypebeast.com_image_2022_11_air-jordan-1-low-golf-court-purple-DD9315-105-1-433x433.jpg
Air Jordan 1 Low SE Craft ‘Inside Out – Obsidian’,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-se-craft-inside-out-obsidian/,"₹ 12,999.00 – ₹ 17,999.00",N/A,"['Jordans', 'SALE-2022', 'Sneakers']",Air Jordan 1 Low SE Craft ‘Inside Out – Obsidian’,https://www.copunderdog.com/wp-content/uploads/2022/12/Air-Jordan-1-Low-SE-Craft-DR8867-400-Release-Date-4-433x433.jpeg
Air Jordan 1 Low Taxi ‘University Gold White’,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-taxi-university-gold-white/,"₹ 13,999.00",N/A,"['Jordans', 'Jordans', 'Sneakers']",Air Jordan 1 Low Taxi ‘University Gold White’,https://www.copunderdog.com/wp-content/uploads/2022/09/Untitled_Artwork_800x-433x433.webp
Air Jordan 1 Low White Bordeaux,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-white-bordeaux/,"₹ 16,999.00 ₹ 12,500.00",N/A,"['Jordans', 'SALE-2022', 'Sneakers']",Air Jordan 1 Low White Bordeaux,https://www.copunderdog.com/wp-content/uploads/2022/12/AJ1LowBordeaux_800x-433x433.jpg
Air Jordan 1 Low White Ice Blue,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-low-white-ice-blue/,"₹ 18,999.00 ₹ 14,999.00",N/A,"['Bae Section', 'Jordans', 'SALE-2022', 'Sneakers']",Air Jordan 1 Low White Ice Blue,https://www.copunderdog.com/wp-content/uploads/2022/11/1ab97f28b41b4cf3aa7ef6428f106b7a-433x433.webp
Air Jordan 1 Mid ‘Bred Toe'(W),https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-bred-toew/,"₹ 17,999.00 ₹ 12,999.00",N/A,"['Bae Section', 'Jordans', 'Jordans', 'Jordans | Sneakers', 'SALE-2022', 'Sneakers']",Air Jordan 1 Mid ‘Bred Toe'(W),https://www.copunderdog.com/wp-content/uploads/2022/12/lowbred2_800x-433x433.webp
Air Jordan 1 Mid SE Craft Obsidian French Blue Ashen Slate,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-mid-se-craft-obsidian-french-blue-ashen-slate/,"₹ 19,999.00",N/A,"['Jordans', 'Jordans', 'Sneakers']",Air Jordan 1 Mid SE Craft Obsidian French Blue Ashen Slate,https://www.copunderdog.com/wp-content/uploads/2022/12/download-5.jpeg
Air Jordan 1 Retro High Off-White Chicago,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-retro-high-off-white-chicago/,"₹ 650,000.00 ₹ 524,999.00",N/A,"['Jordans', 'SALE-2022', 'Sneakers']",Air Jordan 1 Retro High Off-White Chicago,https://www.copunderdog.com/wp-content/uploads/2022/12/ff3d2f6029d4fde56fd49f8dd441780-1200x1200-1-433x433.jpeg
Air Jordan 1 Retro High OG  Chicago ‘Lost and Found’,https://www.copunderdog.com/shop/sneakers/jordans/air-jordan-1-retro-high-og-lost-and-found-pre-order/,"₹ 34,999.00 – ₹ 50,999.00",N/A,"['Jordans', 'Sneakers']",Air Jordan 1 Retro High OG  Chicago ‘Lost and Found’,https://www.copunderdog.com/wp-content/uploads/2022/11/AJ1HighLost_Found_1400x-433x433.jpg
Air Jordan 1 Retro Low OG SP Travis Scott ‘Black Phantom’,https://www.copunderdog.com/shop/sneakers/jordans/pre-order-jordan-1-retro-low-og-sp-travis-scott-black-phantom/,"₹ 85,000.00 – ₹ 99,999.00",N/A,"['Jordans', 'Jordans | Sneakers', 'Sneakers']",Air Jordan 1 Retro Low OG SP Travis Scott ‘Black Phantom’,https://www.copunderdog.com/wp-content/uploads/2022/12/8346afec-0f1a-4110-ae87-e78a07041417-433x433.webp
